,DESTINATION,KEYWORDS,ORIGIN
31936,EWR,columbus,CMH
31937,EWR,ua,CMH
31938,EWR,handled,CMH
31939,EWR,everything,CMH
31940,EWR,well,CMH
31941,EWR,worries,CMH
31942,SLC,fat,EWR
31943,SLC,gay,EWR
31944,SLC,flight,EWR
31945,SLC,attendant,EWR
31946,SLC,snarky,EWR
31947,SLC,unpleasant,EWR
31948,SLC,gay,EWR
31949,SLC,doesnt,EWR
31950,SLC,mean,EWR
31951,SLC,ok,EWR
31952,SLC,jerk,EWR
31953,SLC,flight,ORD
31954,SLC,attendants,ORD
31955,SLC,complaining,ORD
31956,SLC,tired,ORD
31957,SLC,attendant,ORD
31958,SLC,flyers,ORD
31959,SLC,tired,ORD
31960,SLC,crabby,ORD
31961,SLC,dont,ORD
31962,SLC,want,ORD
31963,SLC,hear,ORD
31964,SLC,flight,ORD
31965,SLC,attendants,ORD
31966,SLC,woes,ORD
31967,MCO,remember,ORD
31968,MCO,passengers,ORD
31969,MCO,frustrated,ORD
31970,MCO,nickel,ORD
31971,MCO,dime,ORD
31972,MCO,charges,ORD
31973,TPA,experience,EWR
31974,TPA,american,EWR
31975,TPA,airline,EWR
31976,TPA,ever,EWR
31977,TPA,wifes,EWR
31978,TPA,pocketbook,EWR
31979,TPA,considered,EWR
31980,TPA,carryon,EWR
31981,TPA,constantly,EWR
31982,TPA,wanted,EWR
31983,TPA,additional,EWR
31984,TPA,25,EWR
31985,TPA,dollars,EWR
31986,TPA,several,EWR
31987,TPA,points,EWR
31988,TPA,trip,EWR
31989,TPA,handled,EWR
31990,TPA,people,EWR
31991,TPA,security,EWR
31992,TPA,cattle,EWR
31993,TPA,reminded,EWR
31994,TPA,went,EWR
31995,TPA,middle,EWR
31996,TPA,east,EWR
31997,TPA,terrible,EWR
31998,TPA,airline,EWR
31999,TPA,terrible,EWR
32000,TPA,service,EWR
32001,TPA,old,EWR
32002,TPA,equipment,EWR
32003,TPA,constant,EWR
32004,TPA,banter,EWR
32005,TPA,pay,EWR
32006,TPA,additional,EWR
32007,TPA,25,EWR
32008,TPA,dollars,EWR
32009,TPA,surreal,EWR
32010,POP,boarding,EWR
32011,POP,chaos,EWR
32012,POP,newark,EWR
32013,POP,laughably,EWR
32014,POP,gates,EWR
32015,POP,packed,EWR
32016,POP,multiple,EWR
32017,POP,boarding,EWR
32018,POP,time,EWR
32019,POP,lines,EWR
32020,POP,crossing,EWR
32021,POP,place,EWR
32022,POP,sit,EWR
32023,POP,hard,EWR
32024,POP,flight,EWR
32025,POP,board,EWR
32026,POP,single,EWR
32027,POP,boarding,EWR
32028,POP,process,EWR
32029,POP,ive,EWR
32030,POP,experienced,EWR
32031,POP,multiple,EWR
32032,POP,times,EWR
32033,POP,month,EWR
32034,OMA,late,ORD
32035,OMA,engagement,ORD
32036,OMA,flight,ORD
32037,OMA,gate,ORD
32038,OMA,area,ORD
32039,OMA,agent,ORD
32040,OMA,horrible,ORD
32041,OMA,give,ORD
32042,OMA,information,ORD
32043,OMA,accurately,ORD
32044,OMA,efficiently,ORD
32045,OMA,seemed,ORD
32046,OMA,waiting,ORD
32047,OMA,news,ORD
32048,OMA,knew,ORD
32049,OMA,people,ORD
32050,OMA,mad,ORD
32051,OMA,repeatedly,ORD
32052,OMA,stated,ORD
32053,OMA,frustrated,ORD
32054,OMA,though,ORD
32055,OMA,help,ORD
32056,OMA,anyone,ORD
32057,OMA,people,ORD
32058,OMA,flight,ORD
32059,OMA,missed,ORD
32060,OMA,weddings,ORD
32061,OMA,made,ORD
32062,OMA,family,ORD
32063,OMA,hours,ORD
32064,OMA,engaged,ORD
32065,OMA,flying,ORD
32066,OMA,anymore,ORD
32067,MLI,voluntarily,ORD
32068,MLI,checked,ORD
32069,MLI,carry,ORD
32070,MLI,bag,ORD
32071,MLI,chicago,ORD
32072,MLI,moline,ORD
32073,MLI,bag,ORD
32074,MLI,badly,ORD
32075,MLI,scuffed,ORD
32076,MLI,dirty,ORD
32077,MLI,picked,ORD
32078,MLI,baggage,ORD
32079,MLI,claim,ORD
32080,MLI,dissatisfied,ORD
32081,MLI,section,ORD
32082,BZE,bag,ORD
32083,BZE,severely,ORD
32084,BZE,damaged,ORD
32085,BZE,wheel,ORD
32086,BZE,broken,ORD
32087,BZE,bag,ORD
32088,CUN,flight,EWR
32089,CUN,waited,EWR
32090,CUN,tar,EWR
32091,CUN,mack,EWR
32092,CUN,90minutes,EWR
32093,CUN,explination,EWR
32094,CUN,except,EWR
32095,CUN,rush,EWR
32096,CUN,newark,EWR
32097,CUN,flight,EWR
32098,CUN,crew,EWR
32099,CUN,assigned,EWR
32100,CUN,last,EWR
32101,CUN,minute,EWR
32102,CUN,flight,EWR
32103,CUN,problematic,EWR
32104,CUN,fronts,EWR
32105,CUN,flight,EWR
32106,CUN,crew,EWR
32107,CUN,assigned,EWR
32108,CUN,relayed,EWR
32109,CUN,passangers,EWR
32110,CUN,level,EWR
32111,CUN,incompetence,EWR
32112,CUN,airlines,EWR
32113,CUN,flight,EWR
32114,CUN,crew,EWR
32115,CUN,assigned,EWR
32116,CUN,inturn,EWR
32117,CUN,passengers,EWR
32118,CUN,punished,EWR
32119,CUN,air,EWR
32120,CUN,traffic,EWR
32121,CUN,control,EWR
32122,CUN,delaying,EWR
32123,CUN,flight,EWR
32124,CUN,cue,EWR
32125,CUN,taking,EWR
32126,CUN,mistake,EWR
32127,CUN,airline,EWR
32128,CUN,carrier,EWR
32129,PLS,dont,EWR
32130,PLS,appreciate,EWR
32131,PLS,seat,EWR
32132,PLS,changed,EWR
32133,PLS,isle,EWR
32134,PLS,seat,EWR
32135,PLS,middle,EWR
32136,PLS,seat,EWR
32137,PLS,large,EWR
32138,PLS,man,EWR
32139,PLS,person,EWR
32140,PLS,middle,EWR
32141,PLS,thats,EWR
32142,PLS,reserved,EWR
32143,PLS,isle,EWR
32144,PLS,seat,EWR
32145,PLS,changed,EWR
32146,PLS,without,EWR
32147,PLS,asking,EWR
32148,EWR,terrible,SFO
32149,EWR,food,SFO
32150,EWR,charge,SFO
32151,EWR,10,SFO
32152,EWR,must,SFO
32153,EWR,offer,SFO
32154,EWR,something,SFO
32155,EWR,dog,SFO
32156,EWR,food,SFO
32157,EWR,serve,SFO
32158,EWR,garbage,SFO
32159,EWR,ever,SFO
32160,EWR,eat,SFO
32161,EWR,home,SFO
32162,NAS,econ,EWR
32163,NAS,length,EWR
32164,NAS,seat,EWR
32165,NAS,a320,EWR
32166,NAS,front,EWR
32167,NAS,back,EWR
32168,NAS,narrow,EWR
